N;TaxableIncome
104.0124956;71.48329814
106.6291622;73.28729305
186.3368511;74.41478987
117.8003155;74.41478987
109.4471108;75.99328541
149.5022373;77.12078223
104.3144187;103.5042077
84.94102206;109.1416918
206.8676195;115.0046752
87.40672708;125.1521466
96.86698309;127.1816409
98.12499586;127.6326396
94.50191909;127.858139
75.22916349;132.5936256
184.2737102;133.495623
50.01858763;134.3976205
106.7298032;149.9570765
78.49999669;158.7515517
100.8926239;161.4575441
115.7371746;172.5070129
113.4727516;172.9580116
88.46345781;175.664004
90.07371415;184.2329798
88.46345781;195.7334473
101.3958291;218.508883
74.62531736;237.2253301
66.3224331;237.9018282
97.16890616;238.8038257
62.19615122;241.2843187
109.0948672;246.470804
186.4878126;250.3042932
69.54294578;262.0302601
76.33621473;262.9322575
163.5919803;276.23672
61.6426256;276.9132181
52.03140806;284.354697
58.52275394;284.354697
208.0249912;285.9331926
213.2583243;293.1491722
372.6737022;297.6591595
235.6006311;297.6591595
218.8942215;303.9731416
299.0044746;308.4831289
64.20897165;319.081599
65.26570237;332.8370601
92.99230377;333.0625595
117.0958284;349.7495124
63.55480501;358.0929888
69.79454834;370.4954538
64.25929216;371.84845
116.6932643;378.6134309
67.53012536;403.1928615
208.6288373;414.0168309
75.7323686;425.5172984
80.9153812;432.9587774
169.8820441;436.5667672
63.90704859;440.6257558
89.8724321;448.5182335
413.735239;460.018701
81.72050937;462.2736946
73.56858664;476.7056539
66.27211259;477.6076513
83.88429133;479.862645
71.60608672;486.1766271
63.40384348;493.6181061
174.8134542;500.6085864
87.05448351;502.6380806
193.7339662;508.7265635
61.84390765;508.9520628
196.2499917;510.5305584
189.0038382;511.4325558
45.38910065;513.0110514
150.458327;530.3745023
368.5474203;533.9824921
100.0371753;537.5904819
72.71313796;548.6399507
61.59230509;557.2089265
78.60063771;564.1994068
54.24551053;573.8958794
59.93172824;583.592352
68.98942017;595.0928196
77.09102239;597.3478132
213.4596064;599.8283062
49.71666457;600.5048043
44.2317289;624.4077368
48.96185691;635.0062069
156.9999934;635.0062069
58.17051037;638.839696
201.7852479;645.8301763
72.26025336;647.8596706
46.39551086;650.3401636
69.03974068;653.9481534
115.3346105;662.7426285
85.34358614;687.3220591
231.4743492;690.0280515
226.9455032;691.8320464
176.9269156;702.6560158
87.10480402;704.009012
77.49358647;708.7444986
81.06634273;714.1564834
88.36281678;727.0099471
86.80288095;734.0004273
180.1474283;736.931919
235.6006311;741.4419063
71.9583303;746.853891
53.74230542;751.1383789
70.19711242;754.9718681
61.69294611;755.6483662
54.69839513;756.0993649
71.45512519;756.5503636
66.22179208;757.6778605
56.50993351;770.9823229
86.85320146;777.5218044
62.29679224;778.6493012
45.84198524;779.3257993
80.96570171;779.7767981
58.12018986;780.0022974
96.16249594;780.0022974
176.9269156;782.9337891
